"usageKey","scientificName","canonicalName","rank","status","confidence","matchType","kingdom","phylum","order","family","genus","species","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","synonym","class","acceptedUsageKey","verbatim_name","verbatim_index","verbatim_genus","accepted_name"
3102854,"Xerochrysum subundulatum (Sch.Bip.) R.J.Bayer","Xerochrysum subundulatum","SPECIES","ACCEPTED",97,"FUZZY","Plantae","Tracheophyta","Asterales","Asteraceae","Xerochrysum","Xerochrysum subundulatum",6,7707728,220,414,3065,3102851,3102854,FALSE,"Magnoliopsida",NA,"Xerochrysum subundulata",991,"Xerochrysum","Xerochrysum subundulatum"
10307780,"Nephromopsis cucullata (Bellardi) Divakar, A.Crespo & Lumbsch","Nephromopsis cucullata","SPECIES","ACCEPTED",99,"EXACT","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Nephromopsis","Nephromopsis cucullata",5,95,180,1048,8305,6607767,10307780,FALSE,"Lecanoromycetes",NA,"Nephromopsis cucullata",993,"Nephromopsis","Nephromopsis cucullata"
3130950,"Tephroseris integrifolia (L.) Holub","Tephroseris integrifolia","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Asterales","Asteraceae","Tephroseris","Tephroseris integrifolia",6,7707728,220,414,3065,3130931,3130950,FALSE,"Magnoliopsida",NA,"Tephroseris integrifolia",994,"Tephroseris","Tephroseris integrifolia"
4133679,"Anthoxanthum monticola (Bigelow) Veldkamp","Anthoxanthum monticola","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Poaceae","Anthoxanthum","Anthoxanthum monticola",6,7707728,196,1369,3073,2705971,4133679,FALSE,"Liliopsida",NA,"Anthoxanthum monticola",1008,"Anthoxanthum","Anthoxanthum monticola"
2703347,"Hierochloe alpina (Sw. ex Willd.) Roem. & Schult.","Hierochloe alpina","SPECIES","SYNONYM",80,"FUZZY","Plantae","Tracheophyta","Poales","Poaceae","Anthoxanthum","Anthoxanthum monticola",6,7707728,196,1369,3073,2705971,4133679,TRUE,"Liliopsida",4133679,"Hierochole alpine",1010,"Hierochole","Anthoxanthum monticola"
8105384,"Carex borealipolaris S.R.Zhang","Carex borealipolaris","SPECIES","ACCEPTED",99,"EXACT","Plantae","Tracheophyta","Poales","Cyperaceae","Carex","Carex borealipolaris",6,7707728,196,1369,7708,2721893,8105384,FALSE,"Liliopsida",NA,"Carex borealipolaris",1014,"Carex","Carex borealipolaris"
10375240,"Nephromopsis nivalis (L.) Divakar, A.Crespo & Lumbsch","Nephromopsis nivalis","SPECIES","ACCEPTED",99,"EXACT","Fungi","Ascomycota","Lecanorales","Parmeliaceae","Nephromopsis","Nephromopsis nivalis",5,95,180,1048,8305,6607767,10375240,FALSE,"Lecanoromycetes",NA,"Nephromopsis nivalis",1020,"Nephromopsis","Nephromopsis nivalis"
6440507,"Pedicularis langsdorffii Fisch. ex Steven","Pedicularis langsdorffii","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Lamiales","Orobanchaceae","Pedicularis","Pedicularis langsdorffii",6,7707728,220,408,6651,3171670,6440507,FALSE,"Magnoliopsida",NA,"Pedicularis langsdorffii",1021,"Pedicularis","Pedicularis langsdorffii"
2710326,"Carex myosuroides Vill.","Carex myosuroides","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Poales","Cyperaceae","Carex","Carex myosuroides",6,7707728,196,1369,7708,2721893,2710326,FALSE,"Liliopsida",NA,"Carex myosuroides",1023,"Carex","Carex myosuroides"
3053801,"Parrya nudicaulis (L.) Regel","Parrya nudicaulis","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Brassicales","Brassicaceae","Parrya","Parrya nudicaulis",6,7707728,220,7225535,3112,3053764,3053801,FALSE,"Magnoliopsida",NA,"Parrya nudicaulis",1024,"Parrya","Parrya nudicaulis"
